candidate_id,rank,score,reasoning
CAND_0005649,1,0.856744,"7.4 years of experience as a Senior Data Scientist, strong production and retrieval experience, current role 'Senior Data Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0039754,2,0.830427,"16.2 years of experience as a Senior Applied Scientist, strong production and retrieval experience, current role 'Senior Applied Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0077337,3,0.823945,"7.0 years of experience as a Staff Machine Learning Engineer, strong production and retrieval experience, current role 'Staff Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0018499,4,0.82255,"7.2 years of experience as a Senior Machine Learning Engineer, strong production and retrieval experience, current role 'Senior Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0011162,5,0.822276,"5.8 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0017960,6,0.815787,"7.7 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0028793,7,0.812925,"7.2 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0079387,8,0.81094,"6.9 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0046064,9,0.81074,"8.9 years of experience as a Senior NLP Engineer, strong production and retrieval experience, current role 'Senior NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0068811,10,0.810483,"8.0 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0075574,11,0.809104,"5.7 years of experience as a Machine Learning Engineer, strong production and retrieval experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0071974,12,0.805127,"7.8 years of experience as a Senior AI Engineer, strong production and retrieval experience, current role 'Senior AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0011687,13,0.796052,"7.8 years of experience as a Senior NLP Engineer, strong production and retrieval experience, current role 'Senior NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0018549,14,0.7955,"6.8 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0041610,15,0.79208,"6.7 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0044883,16,0.791451,"6.3 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, high recruiter response rate."
CAND_0041669,17,0.790824,"8.0 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0086022,18,0.789478,"5.3 years of experience as a Senior Applied Scientist, strong production and retrieval experience, current role 'Senior Applied Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0081846,19,0.789364,"6.7 years of experience as a Lead AI Engineer, strong production and retrieval experience, current role 'Lead AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0053695,20,0.786975,"5.8 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0064326,21,0.782718,"7.6 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0086151,22,0.778273,"7.7 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0055992,23,0.777697,"16.9 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0066999,24,0.774811,"5.9 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0010257,25,0.774058,"6.5 years of experience as a Senior Data Scientist, strong production and retrieval experience, current role 'Senior Data Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0006557,26,0.772579,"7.9 years of experience as a NLP Engineer, strong production and retrieval experience, current role 'NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0000031,27,0.771058,"6.0 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0062247,28,0.766681,"7.3 years of experience as a AI Engineer, relevant production experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0006418,29,0.763581,"5.7 years of experience as a Machine Learning Engineer, relevant production experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0002025,30,0.76249,"5.9 years of experience as a Senior AI Engineer, strong production and retrieval experience, current role 'Senior AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0061265,31,0.761407,"6.6 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0098846,32,0.761227,"7.6 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0044855,33,0.760003,"6.6 years of experience as a Senior Data Scientist, strong production and retrieval experience, current role 'Senior Data Scientist' closely matches the target AI/ML position."
CAND_0046525,34,0.758634,"6.1 years of experience as a Senior Machine Learning Engineer, strong production and retrieval experience, current role 'Senior Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0069905,35,0.75524,"6.6 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0018722,36,0.751082,"6.6 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0070398,37,0.74987,"7.2 years of experience as a Machine Learning Engineer, strong production and retrieval experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0080766,38,0.749669,"8.8 years of experience as a Staff Machine Learning Engineer, strong production and retrieval experience, current role 'Staff Machine Learning Engineer' closely matches the target AI/ML position, short notice period."
CAND_0060054,39,0.748939,"6.4 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, high recruiter response rate."
CAND_0081053,40,0.748902,"5.4 years of experience as a NLP Engineer, relevant production experience, current role 'NLP Engineer' closely matches the target AI/ML position, currently open to work."
